time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-07-01 10:30:00-04:00,sell,fill,91.0,APA,stock,,0.0,,11.78874817013059,market,1,0.0
2020-07-01 10:30:00-04:00,buy,fill,79.0,AMZN,stock,,0.0,,145.60049438476562,market,1,0.0
2020-07-01 10:30:00-04:00,buy,fill,124.0,AJG,stock,,0.0,,93.09310908842232,market,1,0.0
2020-08-03 10:30:00-04:00,sell,new,,ADSK,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,new,,AMP,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,new,,ALGN,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,new,,BA,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,new,,ADBE,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,new,,AXON,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,new,,AJG,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,new,,APA,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,buy,new,,CHD,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,buy,new,,CINF,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,new,,AAPL,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,new,,CARR,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,buy,new,,BBY,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,buy,new,,APD,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,buy,new,,CHRW,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,buy,new,,AES,stock,,0.0,,,market,1,
2020-08-03 10:30:00-04:00,sell,fill,47.0,ADSK,stock,,0.0,,239.2899932861328,market,1,0.0
2020-08-03 10:30:00-04:00,sell,fill,85.0,AMP,stock,,0.0,,140.87689797329753,market,1,0.0
2020-08-03 10:30:00-04:00,sell,fill,41.0,ALGN,stock,,0.0,,286.6499938964844,market,1,0.0
2020-08-03 10:30:00-04:00,sell,fill,63.0,BA,stock,,0.0,,164.6300048828125,market,1,0.0
